position,title,link,displayed_link,snippet,thumbnail,duration,like_numbers,view_count,comment_count,subscribers_number,displayed_date
5,"ABC World News Tonight with David Muir Full Broadcast - Dec. 17, 2024",https://www.youtube.com/watch?v=VjH-dIg7fQQ,,,"{'static': 'https://i.ytimg.com/vi/VjH-dIg7fQQ/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAScrquTwpXuS8anTXpQB_KrD4lMg', 'rich': 'https://i.ytimg.com/vi/VjH-dIg7fQQ/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD0rf2AZvv2ZjYOR3JaI3mjos6J6g'}",19.7,3616,244037,511,18000000,2024-12-18T03:00:25Z
6,Police search for motive in deadly Abundant Life Christian School shooting,https://www.youtube.com/watch?v=c72_TmGSMaU,,,"{'static': 'https://i.ytimg.com/vi/c72_TmGSMaU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCTZo09HiKuES69ZbtckxABkquDiw', 'rich': 'https://i.ytimg.com/vi/c72_TmGSMaU/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCWOl7pd1pi1uGKfaw01fsUo_3xRg'}",2.28,341,39808,258,18000000,2024-12-18T00:46:39Z
7,"LIVE: ABC News Live - Tuesday, December 17 | ABC News",https://www.youtube.com/watch?v=iZnmKAOb9wI,,,"{'static': 'https://i.ytimg.com/vi/iZnmKAOb9wI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCb7Ye28AKZXSWx1I6sE_RUPszlLg', 'rich': 'https://i.ytimg.com/vi/iZnmKAOb9wI/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDCmPfL7zcpPwEj0P23HzMWL2zExA'}",714.98,477,84826,0,18000000,2024-12-18T04:32:07Z
8,"ABC World News Tonight with David Muir Full Broadcast - Dec 16, 2024",https://www.youtube.com/watch?v=c4CeJyrM-GE,,,"{'static': 'https://i.ytimg.com/vi/c4CeJyrM-GE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAxNdSi9LX5bALDdAvkCxs6tLHZbA', 'rich': 'https://i.ytimg.com/vi/c4CeJyrM-GE/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA_U0QbjPfAU2t32n_DNi9PpLL4yw'}",19.58,5334,509887,835,18000000,2024-12-17T03:00:12Z
9,Luigi Mangione charged with first-degree murder as act of terrorism in New York,https://www.youtube.com/watch?v=ZUPlIny8VGM,,,"{'static': 'https://i.ytimg.com/vi/ZUPlIny8VGM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB7yRtnYjo-cymPsDZE8z1XGsvDyw', 'rich': 'https://i.ytimg.com/vi/ZUPlIny8VGM/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDO2ndlDtqmNTiK-CAT4O5GTS7PZg'}",3.22,384,39111,825,18000000,2024-12-18T02:30:01Z
10,"Good Morning America Full Broadcast — Tuesday, December 17, 2024",https://www.youtube.com/watch?v=V1rbrmu_hcM,,,"{'static': 'https://i.ytimg.com/vi/V1rbrmu_hcM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBlXUUCq9Nq9pck10zl5SeNUAbNtA', 'rich': 'https://i.ytimg.com/vi/V1rbrmu_hcM/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC0Mox2V140IyjI1ooob1w3bEz2Qw'}",68.05,488,67206,81,18000000,2024-12-17T18:30:31Z
11,LIVE: Latest News Headlines and Events l ABC News Live,https://www.youtube.com/watch?v=-mvUkiILTqI,,,"{'static': 'https://i.ytimg.com/vi/-mvUkiILTqI/hq720.jpg?v=664b6e7d&sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAt-S_Id-RmO2DekfTSoe1k1e-DNA', 'rich': 'https://i.ytimg.com/vi/-mvUkiILTqI/hq720.jpg?v=664b6e7d&sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAiRFg-WWQxvz7Q1PnC0lx5LggjCA'}",0.0,34020,16309646,0,18000000,2024-05-20T15:08:33Z
12,"ABC World News Tonight with David Muir Full Broadcast - Dec. 12, 2024",https://www.youtube.com/watch?v=6AWeIJI8vBw,,,"{'static': 'https://i.ytimg.com/vi/6AWeIJI8vBw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDnLWdVpwV0J6m7gcLy1ezI4fYxyg', 'rich': 'https://i.ytimg.com/vi/6AWeIJI8vBw/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBX4ZxzaT_LBBCT17LMIDjRnChLiw'}",19.98,5492,542826,827,18000000,2024-12-13T03:00:04Z
14,"ABC World News Tonight with David Muir Full Broadcast - Dec. 13, 2024",https://www.youtube.com/watch?v=afAZV-SypGM,,,"{'static': 'https://i.ytimg.com/vi/afAZV-SypGM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAHmittoEPcRx3N1mjp2Kpj5TPMWw', 'rich': 'https://i.ytimg.com/vi/afAZV-SypGM/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD41LN8TMLTFv7KVvqhoRJX8nUo-g'}",19.47,5982,624151,913,18000000,2024-12-14T03:24:51Z
15,ABC News Live Prime: Luigi Mangione indicted; WI shooting investigation; Genetically-modified organs,https://www.youtube.com/watch?v=D_7x2unobkw,,,"{'static': 'https://i.ytimg.com/vi/D_7x2unobkw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCCdDq6pUkX3f2FnI8oENJgJr68Wg', 'rich': 'https://i.ytimg.com/vi/D_7x2unobkw/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCztIvAEUHXheIWHb4TVfs3I9RT_g'}",87.37,193,15578,9,18000000,2024-12-18T01:30:30Z
