position,title,link,duration,like_numbers,view_count,comment_count,subscribers_number,displayed_date
1,New AI Agent Builder Will Save you a Ton of Time,https://www.youtube.com/watch?v=MgApOtgso5c,10.63,231,6091,25,212000,2024-12-17T18:56:46Z
2,AI Agents Explained: A Comprehensive Guide for Beginners,https://www.youtube.com/watch?v=hLJTcVHW8_I,6.87,1660,70961,81,3580,2024-04-29T23:55:25Z
3,What are AI Agents?,https://www.youtube.com/watch?v=F8NKVhkZZWI,12.48,14167,853308,643,945000,2024-07-15T10:00:13Z
4,Andrew Ng Explores The Rise Of AI Agents And Agentic Reasoning | BUILD 2024 Keynote,https://www.youtube.com/watch?v=KrRD7r7y7NY,26.87,4276,204230,103,42800,2024-11-19T14:00:18Z
5,Why 2025 Will Be The Year of AI Agents,https://www.youtube.com/watch?v=kHPXbo2OkzA,5.18,1236,58576,102,624000,2024-12-03T20:39:38Z
6,Intro to AI agents,https://www.youtube.com/watch?v=ZZ2QUCePgYw,6.17,967,41290,33,1180000,2024-11-14T20:00:16Z
7,Coding is Changing Fast... AI Agents Explained,https://www.youtube.com/watch?v=IpktEXs4wFU,16.45,779,23543,56,1640000,2024-12-12T14:00:17Z
8,"AI Agents Explained Like You're 5 (Seriously, Easiest Explanation Ever!)",https://www.youtube.com/watch?v=wazHMMaiDEA,7.18,7080,201669,309,19400,2024-09-25T16:26:15Z
9,SoftBank’s Son Pledges $100 Billion US Investment at Trump Event | Bloomberg Businessweek,https://www.youtube.com/watch?v=yxiy8P65d5c,52.43,7,547,1,117000,2024-12-16T23:19:37Z
11,Microsoft announces new AI agents,https://www.youtube.com/watch?v=tDcsEFS8cu0,2.47,170,15600,60,2900000,2024-10-21T19:56:56Z
12,I Created the BEST AI Agent Platform in Just 2 MONTHS!,https://www.youtube.com/watch?v=WU8aa4YanA4,13.27,914,17805,134,45000,2024-12-16T01:00:29Z
13,The 100X Opportunity With AI Agents,https://www.youtube.com/watch?v=_BxzlbeR4pU,17.87,2299,24289,80,25700,2024-12-04T16:47:54Z
15,I Watched an AI Agent Create Its Own Company 🤯  (Not Clickbait),https://www.youtube.com/watch?v=JZTlp_DpnvA,12.13,1309,24159,233,62200,2024-12-01T15:34:22Z
16,Vertical AI Agents Could Be 10X Bigger Than SaaS,https://www.youtube.com/watch?v=ASABxNenD_U,42.22,6909,353998,316,1630000,2024-11-22T15:00:20Z
18,How Domain-Specific AI Agents (DXA) Will Shape the Industrial World in the Next 10 Years,https://www.youtube.com/watch?v=aWEaEgV1pHQ,32.48,2455,150467,50,6540,2024-10-09T17:31:15Z
19,AI Explained - AI Agents | Your Advanced Digital Assistant,https://www.youtube.com/watch?v=Fyo6vnM8BBk,2.82,1016,5580497,16,70600,2024-09-24T12:40:32Z
20,Microsoft Launches 10 NEW AI Agents,https://www.youtube.com/watch?v=pcWKJ_yvf1M,13.03,698,57809,47,73700,2024-11-24T13:30:32Z
